TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:29:37 GMT+0400 (Gulf Standard Time),57546536,3082
Sun Aug 16 2020 16:29:40 GMT+0400 (Gulf Standard Time),57546537,2958
Sun Aug 16 2020 16:29:46 GMT+0400 (Gulf Standard Time),57546538,5908
Sun Aug 16 2020 16:29:49 GMT+0400 (Gulf Standard Time),57546539,2910
Sun Aug 16 2020 16:29:52 GMT+0400 (Gulf Standard Time),57546540,3184
Sun Aug 16 2020 16:29:58 GMT+0400 (Gulf Standard Time),57546541,5893
Sun Aug 16 2020 16:30:01 GMT+0400 (Gulf Standard Time),57546542,2949
Sun Aug 16 2020 16:30:04 GMT+0400 (Gulf Standard Time),57546543,3007
Sun Aug 16 2020 16:30:10 GMT+0400 (Gulf Standard Time),57546544,6176
Sun Aug 16 2020 16:30:13 GMT+0400 (Gulf Standard Time),57546545,2949
Sun Aug 16 2020 16:30:16 GMT+0400 (Gulf Standard Time),57546546,2945
Sun Aug 16 2020 16:30:22 GMT+0400 (Gulf Standard Time),57546547,6106
Sun Aug 16 2020 16:30:25 GMT+0400 (Gulf Standard Time),57546548,3065
Sun Aug 16 2020 16:30:28 GMT+0400 (Gulf Standard Time),57546549,3042
Sun Aug 16 2020 16:30:31 GMT+0400 (Gulf Standard Time),57546550,3065
Sun Aug 16 2020 16:30:37 GMT+0400 (Gulf Standard Time),57546551,5670
Sun Aug 16 2020 16:30:40 GMT+0400 (Gulf Standard Time),57546552,3179
Sun Aug 16 2020 16:30:43 GMT+0400 (Gulf Standard Time),57546553,3058
Sun Aug 16 2020 16:30:49 GMT+0400 (Gulf Standard Time),57546554,5784
Sun Aug 16 2020 16:30:52 GMT+0400 (Gulf Standard Time),57546555,3110
Sun Aug 16 2020 16:30:55 GMT+0400 (Gulf Standard Time),57546556,3068
Sun Aug 16 2020 16:31:01 GMT+0400 (Gulf Standard Time),57546557,5954
